mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
59067.48	18.71	0.08	1.60e-16	1.20e-17
59067.48	18.55	0.07	1.85e-16	1.19e-17
59068.49	18.52	0.06	1.91e-16	9.89e-18
59069.38	18.55	0.09	1.86e-16	1.51e-17
59073.42	18.60	0.05	1.77e-16	8.92e-18
59075.45	18.67	0.04	1.67e-16	5.71e-18
59076.48	18.57	0.02	1.81e-16	4.07e-18
59076.48	18.62	0.03	1.74e-16	4.41e-18
59077.43	18.61	0.03	1.76e-16	4.57e-18
59080.46	18.57	0.03	1.83e-16	4.72e-18
59081.48	18.66	0.03	1.68e-16	4.80e-18
59082.44	18.55	0.06	1.85e-16	9.49e-18
59082.44	18.56	0.05	1.84e-16	9.26e-18
59082.46	18.58	0.04	1.81e-16	6.48e-18
59082.46	18.71	0.04	1.61e-16	6.37e-18
59084.41	18.58	0.02	1.80e-16	3.87e-18
59084.41	18.62	0.02	1.74e-16	3.28e-18
59084.42	18.62	0.02	1.74e-16	2.90e-18
59084.46	18.57	0.02	1.82e-16	3.57e-18
59085.44	18.64	0.02	1.71e-16	3.68e-18
59086.48	18.55	0.02	1.86e-16	3.78e-18
59086.48	18.62	0.03	1.73e-16	4.04e-18
59087.48	18.57	0.03	1.82e-16	4.25e-18
59087.48	18.61	0.02	1.76e-16	3.97e-18
59091.39	18.46	0.04	2.01e-16	7.92e-18
59091.39	18.56	0.04	1.83e-16	7.20e-18
59091.40	18.60	0.05	1.77e-16	7.99e-18
59091.44	18.53	0.03	1.89e-16	4.45e-18
59092.40	18.49	0.05	1.95e-16	9.61e-18
59092.41	18.62	0.06	1.74e-16	9.60e-18
59092.41	18.57	0.05	1.83e-16	9.11e-18
59093.46	18.54	0.07	1.87e-16	1.13e-17
59094.50	18.53	0.09	1.89e-16	1.57e-17
59094.50	18.53	0.09	1.90e-16	1.65e-17
59095.34	18.44	0.18	2.05e-16	3.42e-17
59095.34	18.73	0.19	1.58e-16	2.73e-17
59102.50	18.80	nan	1.47e-16	nan
59107.40	18.57	0.03	1.83e-16	4.61e-18
59110.50	18.55	0.03	1.86e-16	4.55e-18
59113.42	18.53	0.02	1.88e-16	3.09e-18
59116.31	18.50	0.02	1.95e-16	3.96e-18
59120.34	18.50	0.05	1.94e-16	8.84e-18
59120.34	18.44	0.04	2.04e-16	8.21e-18
59120.34	18.45	0.05	2.04e-16	9.35e-18
59121.34	18.46	0.06	2.01e-16	1.12e-17
59121.34	18.51	0.05	1.92e-16	9.44e-18
59121.34	18.42	0.06	2.09e-16	1.12e-17
59122.33	18.49	0.09	1.95e-16	1.58e-17
59122.33	18.48	0.08	1.98e-16	1.44e-17
59122.33	18.57	0.08	1.83e-16	1.39e-17
59124.48	18.55	0.11	1.85e-16	1.87e-17
59127.40	18.46	0.14	2.01e-16	2.64e-17
59128.35	18.47	0.08	1.99e-16	1.43e-17
59128.35	18.46	0.07	2.01e-16	1.36e-17
59129.36	18.48	0.04	1.99e-16	7.58e-18
59129.37	18.43	0.04	2.07e-16	7.17e-18
59129.37	18.39	0.03	2.15e-16	6.91e-18
59130.39	18.46	0.04	2.02e-16	6.70e-18
59130.39	18.45	0.03	2.03e-16	6.36e-18
59131.37	18.38	0.04	2.17e-16	7.38e-18
59131.37	18.48	0.04	1.97e-16	7.51e-18
59131.37	18.50	0.04	1.94e-16	6.88e-18
59134.38	18.49	0.03	1.96e-16	4.83e-18
59135.29	18.45	0.01	2.03e-16	2.58e-18
59135.29	18.43	0.01	2.07e-16	2.80e-18
