mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58751.29,1.425e-16,1.03e-18,1.4656666666666668e-16,3.038333333333328e-18
58757.32,1.47e-16,5.42e-19,1.469e-16,3.2927777777777727e-18
58757.33,1.47e-16,8.2e-19,1.4723333333333335e-16,3.534999999999996e-18
58758.31,1.44e-16,1.075e-18,1.4706666666666667e-16,3.6583333333333304e-18
58759.29,1.53e-16,6.93e-19,1.4731666666666667e-16,3.5805555555555526e-18
58759.31,1.43e-16,1.5499999999999998e-18,1.4784999999999998e-16,4.022777777777775e-18
58760.3,1.46e-16,8.685e-19,1.4776666666666666e-16,4.180555555555553e-18
58761.36,1.47e-16,2.14e-18,1.4851666666666667e-16,4.670555555555555e-18
58761.37,1.5e-16,2.04e-18,1.4871666666666668e-16,4.652777777777778e-18
58763.3,1.48e-16,4.77e-19,1.4874999999999998e-16,4.688888888888889e-18
58763.36,1.46e-16,4.68e-19,1.4938333333333335e-16,4.772777777777778e-18
58764.13,1.46e-16,3.53e-18,1.4929999999999998e-16,4.7350000000000006e-18
58765.13,1.49e-16,3.64e-18,1.4926666666666668e-16,4.816111111111112e-18
58765.2,1.4e-16,3.0049999999999998e-18,1.4885e-16,4.41388888888889e-18
58766.13,1.51e-16,7.33e-18,1.4868333333333333e-16,4.5327777777777784e-18
58767.13,1.6e-16,1.24e-17,1.4881666666666667e-16,4.466111111111112e-18
58768.13,1.58e-16,8.6e-18,1.4883333333333332e-16,4.510555555555555e-18
58769.13,1.43e-16,1.18e-17,1.4866666666666668e-16,4.718333333333333e-18
58770.13,1.5e-16,1.32e-17,1.4883333333333332e-16,4.852777777777778e-18
58771.13,1.64e-16,1.24e-17,1.487e-16,5.012777777777778e-18
58771.31,1.4350000000000001e-16,8.115e-18,1.4860000000000001e-16,4.8977777777777784e-18
58772.13,1.66e-16,8.05e-18,1.4869999999999998e-16,4.768333333333335e-18
58772.39,1.5000000000000002e-16,1.025e-17,1.4836666666666666e-16,5.071111111111114e-18
58773.13,1.46e-16,3.45e-18,1.4830000000000001e-16,5.051111111111115e-18
58774.13,1.58e-16,4.14e-18,1.48e-16,5.1733333333333374e-18
58774.22,1.465e-16,2.96e-18,1.4793333333333332e-16,5.190000000000005e-18
