mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58456.21	12.40	nan	2.98e-14	nan
58456.22	12.39	nan	3.01e-14	nan
58456.26	18.38	0.02	1.20e-16	2.13e-18
58457.17	12.41	nan	2.95e-14	nan
58457.18	12.54	nan	2.60e-14	nan
58457.18	18.38	0.02	1.21e-16	2.52e-18
58462.28	18.57	0.09	1.01e-16	8.12e-18
58462.29	11.00	nan	1.08e-13	nan
58462.29	11.12	nan	9.69e-14	nan
58464.26	12.37	nan	3.07e-14	nan
58465.27	12.38	nan	3.02e-14	nan
58465.27	12.37	nan	3.04e-14	nan
58466.22	11.26	nan	8.46e-14	nan
58466.25	18.45	0.09	1.13e-16	8.96e-18
58468.26	12.38	nan	3.04e-14	nan
58468.26	12.37	nan	3.04e-14	nan
58469.19	12.24	nan	3.43e-14	nan
58472.12	12.40	nan	2.96e-14	nan
58472.12	18.47	0.05	1.11e-16	4.95e-18
58472.12	12.42	nan	2.93e-14	nan
58474.16	12.39	nan	2.99e-14	nan
58475.15	12.41	nan	2.94e-14	nan
58475.15	18.51	0.04	1.07e-16	3.68e-18
58475.15	12.43	nan	2.89e-14	nan
58481.30	12.28	nan	3.32e-14	nan
58486.11	12.40	nan	2.97e-14	nan
58486.11	12.40	nan	2.96e-14	nan
58487.11	18.51	0.02	1.07e-16	1.65e-18
58487.11	12.41	nan	2.95e-14	nan
58488.11	18.34	0.10	1.25e-16	1.11e-17
58488.11	10.85	nan	1.24e-13	nan
58490.13	18.51	0.03	1.07e-16	2.83e-18
58490.15	18.54	0.03	1.04e-16	2.84e-18
58490.16	12.38	nan	3.02e-14	nan
58490.16	12.38	nan	3.03e-14	nan
58491.12	18.49	0.03	1.09e-16	2.84e-18
58491.12	12.38	nan	3.01e-14	nan
58492.14	9.80	nan	3.25e-13	nan
58492.14	18.85	0.15	7.82e-17	1.11e-17
58493.11	18.47	0.02	1.11e-16	2.11e-18
58493.11	12.40	nan	2.96e-14	nan
58493.12	12.39	nan	3.00e-14	nan
58493.12	18.51	0.02	1.07e-16	2.17e-18
58503.11	12.38	nan	3.02e-14	nan
58503.12	12.38	nan	3.03e-14	nan
58510.11	18.53	0.03	1.04e-16	2.54e-18
58510.12	12.39	nan	2.99e-14	nan
58511.11	18.43	0.03	1.15e-16	3.60e-18
58511.13	12.32	nan	3.19e-14	nan
58523.17	12.30	nan	3.25e-14	nan
58523.17	18.54	0.04	1.04e-16	3.76e-18
58540.12	18.56	0.04	1.02e-16	4.18e-18
58540.12	12.30	nan	3.24e-14	nan
58654.45	12.13	nan	3.82e-14	nan
58655.44	18.96	0.15	7.08e-17	9.91e-18
58667.48	12.31	nan	3.22e-14	nan
58667.48	18.83	0.05	7.96e-17	3.44e-18
58670.48	12.30	nan	3.26e-14	nan
58670.48	18.79	0.02	8.29e-17	1.76e-18
58673.45	12.29	nan	3.27e-14	nan
58676.46	18.85	0.03	7.84e-17	1.82e-18
58676.46	12.28	nan	3.32e-14	nan
58678.47	12.33	nan	3.16e-14	nan
58679.47	18.80	0.04	8.19e-17	2.94e-18
58679.47	12.33	nan	3.16e-14	nan
58679.47	18.85	0.04	7.81e-17	2.86e-18
58679.47	12.31	nan	3.23e-14	nan
58680.43	12.31	nan	3.22e-14	nan
58680.43	18.69	0.07	9.04e-17	5.63e-18
58681.44	18.73	0.07	8.69e-17	5.63e-18
58681.44	12.31	nan	3.23e-14	nan
58682.42	18.79	0.06	8.22e-17	4.75e-18
58682.42	18.82	0.06	8.04e-17	4.75e-18
58682.42	12.30	nan	3.25e-14	nan
58682.42	12.30	nan	3.25e-14	nan
58683.44	18.77	0.05	8.41e-17	3.82e-18
58683.44	12.31	nan	3.24e-14	nan
58684.49	12.32	nan	3.19e-14	nan
58685.44	18.79	0.05	8.26e-17	3.89e-18
58685.44	18.83	0.05	7.96e-17	3.44e-18
58685.44	12.30	nan	3.24e-14	nan
58685.46	12.31	nan	3.22e-14	nan
58686.44	12.24	nan	3.45e-14	nan
58686.44	18.77	0.06	8.39e-17	5.02e-18
58690.43	18.81	0.04	8.08e-17	2.69e-18
58690.43	12.24	nan	3.43e-14	nan
58690.43	12.21	nan	3.52e-14	nan
58691.42	12.27	nan	3.34e-14	nan
58693.47	12.31	nan	3.21e-14	nan
58693.47	12.32	nan	3.19e-14	nan
58693.48	18.85	0.02	7.79e-17	1.42e-18
58694.41	12.30	nan	3.26e-14	nan
58695.48	12.33	nan	3.17e-14	nan
58696.47	12.32	nan	3.19e-14	nan
58696.48	12.35	nan	3.11e-14	nan
58696.48	18.85	0.02	7.83e-17	1.36e-18
58697.42	12.29	nan	3.27e-14	nan
58698.50	18.86	0.04	7.71e-17	2.59e-18
58698.50	12.14	nan	3.78e-14	nan
