mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
59141.18,7.64e-17,2.525e-18,7.858833333333334e-17,3.506611111111113e-18
59142.14,7.84e-17,1.87e-18,7.869166666666667e-17,3.567000000000001e-18
59142.15,7.6e-17,1.66e-18,7.852833333333333e-17,3.4205000000000008e-18
59143.13,8.17e-17,1.53e-18,7.858500000000001e-17,3.4525555555555564e-18
59145.17,7.955e-17,2.6250000000000003e-18,7.850166666666667e-17,3.3492777777777785e-18
59149.12,8.37e-17,9.72e-18,7.856166666666666e-17,3.3083888888888895e-18
59150.22,6.64e-17,6.36e-18,7.840166666666666e-17,3.3605370370370376e-18
59151.11,7.830000000000001e-17,4.5400000000000005e-18,7.827500000000001e-17,3.451388888888889e-18
59153.09,7.01e-17,4.22e-18,7.857166666666666e-17,3.5738703703703706e-18
59153.17,8.065e-17,5.0650000000000004e-18,7.8485e-17,3.603388888888888e-18
59155.1,8.08e-17,2.905e-18,7.867666666666667e-17,3.751537037037037e-18
59158.12,8.27e-17,2.55e-18,7.866333333333334e-17,3.798944444444444e-18
59158.13,7.75e-17,3.03e-18,7.855166666666666e-17,3.9258518518518515e-18
59164.13,7.93e-17,2.99e-18,7.867333333333333e-17,3.836166666666668e-18
59164.15,8.19e-17,3.23e-18,7.900333333333335e-17,3.854925925925925e-18
59165.1,8.12e-17,1.9e-18,7.928666666666667e-17,3.9971296296296294e-18
59168.12,8.23e-17,3.44e-18,7.934333333333334e-17,4.04511111111111e-18
59169.13,8.13e-17,4.17e-18,7.928333333333333e-17,4.0870185185185176e-18
59171.1,7.58e-17,1.97e-18,7.930333333333333e-17,4.129555555555555e-18
59173.08,7.39e-17,2.42e-18,7.91738888888889e-17,4.1660185185185185e-18
59181.12,7.73e-17,6.2349999999999996e-18,7.882055555555555e-17,4.181925925925926e-18
59182.09,7.38e-17,6.62e-18,7.844388888888889e-17,3.787796296296296e-18
59183.1,8.53e-17,7.920000000000001e-18,7.887055555555556e-17,3.393222222222222e-18
59185.16,7.71e-17,7.19e-18,7.893055555555555e-17,3.4180925925925924e-18
